1,"can_spoof(fb_03_gps_position_nmea0183)","OR",0
2,"RULE 10 (Evasion)","AND",1
3,"controlFlow(c_06_gnss_source,c_05_geolocation_system,fb_03_gps_position_nmea0183)","LEAF",1
4,"wirelessCompromise(c_05_geolocation_system)","OR",0
5,"RULE 0 (Inital Access)","AND",1
6,"weaknessPhysicalLayer(ac7,nmea0183,cover_zone)","LEAF",1
7,"physicalLayer(nmea0183,c_05_geolocation_system,c_06_gnss_source)","LEAF",1
8,"attackerLocated(cover_zone)","LEAF",1
